tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
120,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_a29083f5,encouraged_division_of_labor_v2,a4bdc9a42346547b,22.62741699796951,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a29083f5_actions,,[],,,
171,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_a29083f5,encouraged_division_of_labor_v2,a4bdc9a42346547b,61.11064008374131,38.483223085771805,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a29083f5_actions,player_a29083f5,['player_a29083f5'],,,
218,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_a29083f5,encouraged_division_of_labor_v2,a4bdc9a42346547b,99.5938631695138,38.48322308577248,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a29083f5_actions,,[],,,
253,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_a29083f5,encouraged_division_of_labor_v2,a4bdc9a42346547b,122.2212801674834,22.62741699796962,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a29083f5_actions,player_a29083f5,['player_a29083f5'],,,
279,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_63be8bac,encouraged_division_of_labor_v2,a4bdc9a42346547b,82.00000000004195,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67cb97aa66285604188d577a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_63be8bac_actions,player_a29083f5,['player_a29083f5'],,,True
321,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_a29083f5,encouraged_division_of_labor_v2,a4bdc9a42346547b,176.69828975104207,54.477009583558655,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a29083f5_actions,,[],,,
356,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_63be8bac,encouraged_division_of_labor_v2,a4bdc9a42346547b,82.00000000004195,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67cb97aa66285604188d577a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_63be8bac_actions,player_63be8bac,"['player_a29083f5', 'player_63be8bac']",,,
377,plate,put down,Counter_22,Counter,22,put down plate on counter,player_a29083f5,encouraged_division_of_labor_v2,a4bdc9a42346547b,231.17529933460068,54.47700958355861,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a29083f5_actions,player_a29083f5,['player_a29083f5'],,,
452,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_63be8bac,encouraged_division_of_labor_v2,a4bdc9a42346547b,82.00000000004195,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67cb97aa66285604188d577a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_63be8bac_actions,player_63be8bac,"['player_a29083f5', 'player_63be8bac']",,,False
472,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_63be8bac,encouraged_division_of_labor_v2,a4bdc9a42346547b,82.00000000004195,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67cb97aa66285604188d577a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_63be8bac_actions,player_a29083f5,['player_63be8bac'],"['player_a29083f5', 'player_63be8bac', 'player_63be8bac']",['player_a29083f5'],True
530,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_63be8bac,encouraged_division_of_labor_v2,a4bdc9a42346547b,98.00000000004196,16.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67cb97aa66285604188d577a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_63be8bac_actions,player_a29083f5,['player_a29083f5'],,,True
546,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_63be8bac,encouraged_division_of_labor_v2,a4bdc9a42346547b,98.00000000004196,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67cb97aa66285604188d577a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_63be8bac_actions,player_63be8bac,"['player_a29083f5', 'player_63be8bac']",,,
567,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_a29083f5,encouraged_division_of_labor_v2,a4bdc9a42346547b,406.3730307855655,175.19773145096482,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a29083f5_actions,,[],,,
619,tomato,put down,Dispenser_60,Dispenser,60,put down tomato on dispenser,player_a29083f5,encouraged_division_of_labor_v2,a4bdc9a42346547b,438.3730307855655,32.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a29083f5_actions,player_a29083f5,['player_a29083f5'],,,
619,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_a29083f5,encouraged_division_of_labor_v2,a4bdc9a42346547b,438.3730307855655,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a29083f5_actions,,[],,,
684,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,3,pick up tomato_cut from cuttingboard,player_63be8bac,encouraged_division_of_labor_v2,a4bdc9a42346547b,98.00000000004196,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67cb97aa66285604188d577a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_63be8bac_actions,player_63be8bac,"['player_a29083f5', 'player_63be8bac']",,,False
696,plate,put down,Counter_23,Counter,23,put down plate on counter,player_a29083f5,encouraged_division_of_labor_v2,a4bdc9a42346547b,499.37529237334775,61.00226158778224,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a29083f5_actions,player_a29083f5,['player_a29083f5'],,,
729,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_a29083f5,encouraged_division_of_labor_v2,a4bdc9a42346547b,515.3752923733477,16.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a29083f5_actions,player_63be8bac,['player_63be8bac'],"['player_a29083f5', 'player_63be8bac', 'player_63be8bac']",['player_a29083f5'],True
733,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_63be8bac,encouraged_division_of_labor_v2,a4bdc9a42346547b,98.00000000004196,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",67cb97aa66285604188d577a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_63be8bac_actions,player_a29083f5,['player_63be8bac'],"['player_a29083f5', 'player_63be8bac', 'player_63be8bac']",['player_a29083f5'],True
775,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_a29083f5,encouraged_division_of_labor_v2,a4bdc9a42346547b,553.8585154591198,38.48322308577201,1.0,1.0,1.0,1.0,0.2,"(5, 2)",undefined,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_a29083f5_actions,player_a29083f5,"['player_63be8bac', 'player_a29083f5']","['player_a29083f5', 'player_63be8bac', 'player_63be8bac']",['player_a29083f5'],
