tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
165,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_14995000,encouraged_division_of_labor_v2,ab31b9a3d61d7aa7,22.62741699796951,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6711e09a6906af2fa5b782bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_14995000_actions,,[],,,
214,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_14995000,encouraged_division_of_labor_v2,ab31b9a3d61d7aa7,45.254833995939016,22.627416997969505,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6711e09a6906af2fa5b782bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_14995000_actions,player_14995000,['player_14995000'],,,
250,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_14995000,encouraged_division_of_labor_v2,ab31b9a3d61d7aa7,67.88225099390853,22.62741699796951,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6711e09a6906af2fa5b782bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_14995000_actions,,[],,,
299,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_14995000,encouraged_division_of_labor_v2,ab31b9a3d61d7aa7,106.36547407968034,38.48322308577181,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6711e09a6906af2fa5b782bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_14995000_actions,player_14995000,['player_14995000'],,,
420,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_14995000,encouraged_division_of_labor_v2,ab31b9a3d61d7aa7,238.38739979917463,132.02192571949433,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6711e09a6906af2fa5b782bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_14995000_actions,,[],,,
479,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_0c11c6d9,encouraged_division_of_labor_v2,ab31b9a3d61d7aa7,163.25078831065383,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",66b1ae2bf1b4bbd5740d658a,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_0c11c6d9_actions,,[],,,
501,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_14995000,encouraged_division_of_labor_v2,ab31b9a3d61d7aa7,292.8644093827324,54.47700958355773,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6711e09a6906af2fa5b782bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_14995000_actions,player_14995000,['player_14995000'],,,
623,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_14995000,encouraged_division_of_labor_v2,ab31b9a3d61d7aa7,401.1985011379901,108.33409175525765,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6711e09a6906af2fa5b782bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_14995000_actions,player_14995000,['player_14995000'],,,False
642,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_14995000,encouraged_division_of_labor_v2,ab31b9a3d61d7aa7,401.1985011379901,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6711e09a6906af2fa5b782bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_14995000_actions,player_14995000,"['player_14995000', 'player_14995000']",,,
688,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_14995000,encouraged_division_of_labor_v2,ab31b9a3d61d7aa7,417.1985011379901,16.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",6711e09a6906af2fa5b782bd,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_14995000_actions,player_14995000,['player_14995000'],,,False
