tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
125,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_b9d95bf8,encouraged_division_of_labor_v2,c7f5f97071711afd,22.627416997969515,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663140c398e19ff9b77d4663,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_b9d95bf8_actions,,[],,,
300,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_b9d95bf8,encouraged_division_of_labor_v2,c7f5f97071711afd,185.5740312336709,162.94661423570136,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663140c398e19ff9b77d4663,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_b9d95bf8_actions,player_b9d95bf8,['player_b9d95bf8'],,,
665,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_b9d95bf8,encouraged_division_of_labor_v2,c7f5f97071711afd,361.80918891008105,176.23515767641018,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663140c398e19ff9b77d4663,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_b9d95bf8_actions,,[],,,
670,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_ee722195,encouraged_division_of_labor_v2,c7f5f97071711afd,214.16926919022205,0.0,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65ccfdf16bdcab83d5bd1163,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_ee722195_actions,,[],,,
859,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_ee722195,encouraged_division_of_labor_v2,c7f5f97071711afd,275.42410318616135,61.25483399593929,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65ccfdf16bdcab83d5bd1163,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_ee722195_actions,player_ee722195,['player_ee722195'],,,
911,plate,put down,Counter_22,Counter,22,put down plate on counter,player_b9d95bf8,encouraged_division_of_labor_v2,c7f5f97071711afd,538.1318598251723,176.3226709150913,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663140c398e19ff9b77d4663,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_b9d95bf8_actions,player_b9d95bf8,['player_b9d95bf8'],,,
924,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_b9d95bf8,encouraged_division_of_labor_v2,c7f5f97071711afd,538.1318598251723,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663140c398e19ff9b77d4663,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_b9d95bf8_actions,player_b9d95bf8,['player_b9d95bf8'],,,False
946,plate,put down,Counter_22,Counter,22,put down plate on counter,player_b9d95bf8,encouraged_division_of_labor_v2,c7f5f97071711afd,538.1318598251723,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663140c398e19ff9b77d4663,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_b9d95bf8_actions,player_b9d95bf8,"['player_b9d95bf8', 'player_b9d95bf8']",,,
967,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_ee722195,encouraged_division_of_labor_v2,c7f5f97071711afd,313.95746930523165,38.53336611907031,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65ccfdf16bdcab83d5bd1163,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_ee722195_actions,,[],,,
1032,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_b9d95bf8,encouraged_division_of_labor_v2,c7f5f97071711afd,554.1318598251717,15.999999999999318,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663140c398e19ff9b77d4663,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_b9d95bf8_actions,player_ee722195,['player_ee722195'],,,True
1043,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_b9d95bf8,encouraged_division_of_labor_v2,c7f5f97071711afd,554.1318598251717,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663140c398e19ff9b77d4663,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_b9d95bf8_actions,player_b9d95bf8,"['player_ee722195', 'player_b9d95bf8']",,,
1069,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_b9d95bf8,encouraged_division_of_labor_v2,c7f5f97071711afd,554.1318598251717,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663140c398e19ff9b77d4663,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_b9d95bf8_actions,player_b9d95bf8,"['player_ee722195', 'player_b9d95bf8']",,,False
1084,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_b9d95bf8,encouraged_division_of_labor_v2,c7f5f97071711afd,554.1318598251717,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663140c398e19ff9b77d4663,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_b9d95bf8_actions,player_b9d95bf8,"['player_ee722195', 'player_b9d95bf8', 'player_b9d95bf8']",,,
1102,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_ee722195,encouraged_division_of_labor_v2,c7f5f97071711afd,368.4908354243025,54.53336611907082,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65ccfdf16bdcab83d5bd1163,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_ee722195_actions,player_ee722195,['player_ee722195'],,,
1245,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_ee722195,encouraged_division_of_labor_v2,c7f5f97071711afd,423.02420154337113,54.53336611906866,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65ccfdf16bdcab83d5bd1163,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_ee722195_actions,,[],,,
1330,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_b9d95bf8,encouraged_division_of_labor_v2,c7f5f97071711afd,602.1318598251696,47.999999999997954,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663140c398e19ff9b77d4663,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_b9d95bf8_actions,player_b9d95bf8,['player_b9d95bf8'],,,False
1357,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_b9d95bf8,encouraged_division_of_labor_v2,c7f5f97071711afd,602.1318598251696,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663140c398e19ff9b77d4663,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_b9d95bf8_actions,player_b9d95bf8,['player_b9d95bf8'],"['player_b9d95bf8', 'player_b9d95bf8']","['player_b9d95bf8', 'player_b9d95bf8']",False
1358,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_ee722195,encouraged_division_of_labor_v2,c7f5f97071711afd,461.5575676624393,38.53336611906815,0.0,0.0,0.0,0.4,1.0,"(1, 2)",65ccfdf16bdcab83d5bd1163,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_ee722195_actions,player_ee722195,['player_ee722195'],,,
1380,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_b9d95bf8,encouraged_division_of_labor_v2,c7f5f97071711afd,602.1318598251696,0.0,0.0,0.0,0.0,1.0,0.2,"(5, 2)",663140c398e19ff9b77d4663,"[p(1, 2)_cs(1.0)_ws(0.4)]_[p(5, 2)_cs(0.2)_ws(1.0)]_ability_hints",player_b9d95bf8_actions,player_b9d95bf8,['player_b9d95bf8'],"['player_b9d95bf8', 'player_b9d95bf8']","['player_b9d95bf8', 'player_b9d95bf8']",False
