tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
149,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
220,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,45.254833995939016,22.627416997969505,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
295,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,99.7318435794975,54.47700958355848,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
354,plate,put down,Counter_23,Counter,23,put down plate on counter,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,160.73410516727918,61.00226158778169,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
507,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,279.55138490985524,118.81727974257606,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
583,plate,put down,Counter_24,Counter,24,put down plate on counter,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,347.4336359037649,67.88225099390968,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
737,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,455.7677276625205,108.33409175875556,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
769,tomato,start cutting,CuttingBoard_03,CuttingBoard,03,start cutting tomato,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,471.7677276625205,16.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
875,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,03,pick up tomato_cut from cuttingboard,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,471.7677276625205,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
895,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,471.7677276625205,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1065,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,618.5012773075919,146.73354964507138,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1217,tomato,start cutting,CuttingBoard_03,CuttingBoard,03,start cutting tomato,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,765.4478915478832,146.9466142402913,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1320,plate,pick up,Counter_24,Counter,24,pick up plate from counter,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,781.4478915478826,15.999999999999432,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1359,plate,put down,Counter_24,Counter,24,put down plate on counter,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,781.4478915478826,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1396,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,03,pick up tomato_cut from cuttingboard,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,797.4478915478819,15.999999999999318,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1426,tomato_cut,assemble salad,Counter_24,Counter,24,assemble salad,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,813.4478915478815,15.999999999999545,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1445,tomato_salad,pick up,Counter_24,Counter,24,pick up tomato_salad from counter,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,813.4478915478815,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1590,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,912.2845245387807,98.83663299089926,1.0,1.0,1.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1646,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,950.7677476245522,38.48322308577144,1.0,0.0,1.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1700,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,982.7677476245508,31.999999999998636,2.0,1.0,2.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1801,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,1021.2509707103225,38.48322308577167,2.0,0.0,2.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1849,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,1043.8783877082913,22.627416997968794,2.0,0.0,2.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1896,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,1082.3616107940618,38.48322308577053,2.0,0.0,2.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1949,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,1127.6164447899996,45.254833995937815,2.0,0.0,2.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2013,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_c3c140c5,encouraged_division_of_labor_v2,2155078c56ec8b61,1188.6187063777818,61.002261587782186,2.0,0.0,2.0,1.0,1.0,"(5, 2)",663a7af013938e6bbfb065d5,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
