tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
316,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_6e24995b,encouraged_division_of_labor_v2,5964fa7fd4e66d67,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",678999ae711e51b34f896a93,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6e24995b_actions,,[],,,
380,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_ae2251db,encouraged_division_of_labor_v2,5964fa7fd4e66d67,160.60580428702912,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d77a647dbf6c0c53b0d375,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ae2251db_actions,,[],,,
443,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_ae2251db,encouraged_division_of_labor_v2,5964fa7fd4e66d67,183.2332212849985,22.62741699796939,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d77a647dbf6c0c53b0d375,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ae2251db_actions,player_ae2251db,['player_ae2251db'],,,
483,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_ae2251db,encouraged_division_of_labor_v2,5964fa7fd4e66d67,205.8606382829679,22.62741699796939,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d77a647dbf6c0c53b0d375,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ae2251db_actions,,[],,,
499,tomato,start cutting,CuttingBoard_02,CuttingBoard,2,start cutting tomato,player_6e24995b,encouraged_division_of_labor_v2,5964fa7fd4e66d67,185.5740312336709,162.94661423570136,0.0,0.0,0.0,1.0,1.0,"(5, 2)",678999ae711e51b34f896a93,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6e24995b_actions,player_6e24995b,['player_6e24995b'],,,
539,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_ae2251db,encouraged_division_of_labor_v2,5964fa7fd4e66d67,244.34386136873985,38.483223085771954,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d77a647dbf6c0c53b0d375,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ae2251db_actions,player_ae2251db,['player_ae2251db'],,,
553,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_6e24995b,encouraged_division_of_labor_v2,5964fa7fd4e66d67,185.5740312336709,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",678999ae711e51b34f896a93,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6e24995b_actions,player_ae2251db,['player_ae2251db'],,,True
611,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_6e24995b,encouraged_division_of_labor_v2,5964fa7fd4e66d67,201.5740312336709,16.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",678999ae711e51b34f896a93,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6e24995b_actions,player_6e24995b,"['player_ae2251db', 'player_6e24995b']",,,
611,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_ae2251db,encouraged_division_of_labor_v2,5964fa7fd4e66d67,305.3461229565218,61.00226158778196,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d77a647dbf6c0c53b0d375,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ae2251db_actions,,[],,,
676,plate,put down,Counter_22,Counter,22,put down plate on counter,player_ae2251db,encouraged_division_of_labor_v2,5964fa7fd4e66d67,359.8231325400803,54.47700958355847,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d77a647dbf6c0c53b0d375,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ae2251db_actions,player_ae2251db,['player_ae2251db'],,,
745,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_ae2251db,encouraged_division_of_labor_v2,5964fa7fd4e66d67,414.300142123639,54.4770095835587,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d77a647dbf6c0c53b0d375,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ae2251db_actions,,[],,,
795,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,2,pick up tomato_cut from cuttingboard,player_6e24995b,encouraged_division_of_labor_v2,5964fa7fd4e66d67,217.5740312336709,16.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",678999ae711e51b34f896a93,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6e24995b_actions,player_6e24995b,['player_6e24995b'],,,False
824,plate,put down,Counter_24,Counter,24,put down plate on counter,player_ae2251db,encouraged_division_of_labor_v2,5964fa7fd4e66d67,482.18239311754866,67.88225099390968,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d77a647dbf6c0c53b0d375,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ae2251db_actions,player_ae2251db,['player_ae2251db'],,,
855,tomato_cut,assemble salad,Counter_22,Counter,22,assemble salad,player_6e24995b,encouraged_division_of_labor_v2,5964fa7fd4e66d67,217.5740312336709,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",678999ae711e51b34f896a93,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6e24995b_actions,player_ae2251db,['player_6e24995b'],"['player_6e24995b', 'player_6e24995b']",['player_ae2251db'],True
870,tomato,pick up,Counter_23,Counter,23,pick up tomato from counter,player_ae2251db,encouraged_division_of_labor_v2,5964fa7fd4e66d67,498.18239311754866,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d77a647dbf6c0c53b0d375,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ae2251db_actions,player_ae2251db,['player_ae2251db'],,,False
911,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_ae2251db,encouraged_division_of_labor_v2,5964fa7fd4e66d67,514.1823931175486,15.999999999999943,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d77a647dbf6c0c53b0d375,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ae2251db_actions,player_ae2251db,"['player_ae2251db', 'player_ae2251db']",,,
911,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_ae2251db,encouraged_division_of_labor_v2,5964fa7fd4e66d67,514.1823931175486,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",63d77a647dbf6c0c53b0d375,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_ae2251db_actions,player_ae2251db,"['player_ae2251db', 'player_ae2251db']",,,False
947,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,3,pick up tomato_cut from cuttingboard,player_6e24995b,encouraged_division_of_labor_v2,5964fa7fd4e66d67,233.5740312336709,16.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",678999ae711e51b34f896a93,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_6e24995b_actions,player_6e24995b,"['player_ae2251db', 'player_6e24995b']",,,False
