tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
179,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_daf06833,encouraged_division_of_labor_v2,610ed781acf9d4a8,16.0,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6659ca3aede1cd81f25f5d46,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
364,tomato,start cutting,CuttingBoard_02,CuttingBoard,02,start cutting tomato,player_daf06833,encouraged_division_of_labor_v2,610ed781acf9d4a8,185.14806717506937,169.14806717506937,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6659ca3aede1cd81f25f5d46,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
584,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_daf06833,encouraged_division_of_labor_v2,610ed781acf9d4a8,361.38322485147955,176.23515767641018,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6659ca3aede1cd81f25f5d46,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
684,plate,put down,Counter_25,Counter,25,put down plate on counter,player_daf06833,encouraged_division_of_labor_v2,610ed781acf9d4a8,445.01289369570736,83.62966884422781,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6659ca3aede1cd81f25f5d46,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
791,tomato_cut,pick up,CuttingBoard_02,CuttingBoard,02,pick up tomato_cut from cuttingboard,player_daf06833,encouraged_division_of_labor_v2,610ed781acf9d4a8,537.7023675413153,92.68947384560795,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6659ca3aede1cd81f25f5d46,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
858,tomato_cut,assemble salad,Counter_25,Counter,25,assemble salad,player_daf06833,encouraged_division_of_labor_v2,610ed781acf9d4a8,585.7023675413133,47.999999999997954,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6659ca3aede1cd81f25f5d46,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
896,tomato_salad,pick up,Counter_25,Counter,25,pick up tomato_salad from counter,player_daf06833,encouraged_division_of_labor_v2,610ed781acf9d4a8,585.7023675413133,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6659ca3aede1cd81f25f5d46,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
992,tomato_salad,deliver,Delivery_64,Delivery,64,deliver tomato_salad,player_daf06833,encouraged_division_of_labor_v2,610ed781acf9d4a8,669.3237554637243,83.62138792241103,1.0,1.0,1.0,1.0,1.0,"(5, 2)",6659ca3aede1cd81f25f5d46,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1057,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_daf06833,encouraged_division_of_labor_v2,610ed781acf9d4a8,723.8007650472815,54.47700958355722,1.0,0.0,1.0,1.0,1.0,"(5, 2)",6659ca3aede1cd81f25f5d46,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1130,plate,put down,Counter_24,Counter,24,put down plate on counter,player_daf06833,encouraged_division_of_labor_v2,610ed781acf9d4a8,791.6830160411881,67.88225099390661,1.0,0.0,1.0,1.0,1.0,"(5, 2)",6659ca3aede1cd81f25f5d46,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
