tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
478,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_56b32958,encouraged_division_of_labor_v2,8ea151b8dd44533c,169.6068453691732,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f9680c928b51354f0244d31,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_56b32958_actions,,[],,,
638,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_56b32958,encouraged_division_of_labor_v2,8ea151b8dd44533c,322.7549125469737,153.14806717780047,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f9680c928b51354f0244d31,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_56b32958_actions,player_56b32958,['player_56b32958'],,,
671,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,54.627416997969505,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_1114779e_actions,,[],,,
724,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,77.25483399593907,22.62741699796956,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_1114779e_actions,player_1114779e,['player_1114779e'],,,
729,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,3,pick up tomato_cut from cuttingboard,player_56b32958,encouraged_division_of_labor_v2,8ea151b8dd44533c,322.7549125469737,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f9680c928b51354f0244d31,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_56b32958_actions,player_56b32958,['player_56b32958'],,,False
749,tomato_cut,put down,Counter_23,Counter,23,put down tomato_cut on counter,player_56b32958,encouraged_division_of_labor_v2,8ea151b8dd44533c,322.7549125469737,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f9680c928b51354f0244d31,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_56b32958_actions,player_56b32958,"['player_56b32958', 'player_56b32958']",,,
763,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,99.88225099390868,22.62741699796962,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_1114779e_actions,,[],,,
779,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_56b32958,encouraged_division_of_labor_v2,8ea151b8dd44533c,338.7549125469737,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f9680c928b51354f0244d31,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_56b32958_actions,player_1114779e,['player_1114779e'],,,True
798,tomato,start cutting,CuttingBoard_03,CuttingBoard,3,start cutting tomato,player_56b32958,encouraged_division_of_labor_v2,8ea151b8dd44533c,354.7549125469737,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f9680c928b51354f0244d31,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_56b32958_actions,player_56b32958,"['player_1114779e', 'player_56b32958']",,,
863,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,122.5096679918783,22.62741699796962,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_1114779e_actions,player_1114779e,['player_1114779e'],,,
890,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,3,pick up tomato_cut from cuttingboard,player_56b32958,encouraged_division_of_labor_v2,8ea151b8dd44533c,354.7549125469737,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f9680c928b51354f0244d31,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_56b32958_actions,player_56b32958,"['player_1114779e', 'player_56b32958']",,,False
901,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,145.13708498984775,22.627416997969448,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_1114779e_actions,,[],,,
927,tomato_cut,put down,Counter_24,Counter,24,put down tomato_cut on counter,player_56b32958,encouraged_division_of_labor_v2,8ea151b8dd44533c,370.7549125469737,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f9680c928b51354f0244d31,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_56b32958_actions,player_56b32958,"['player_1114779e', 'player_56b32958', 'player_56b32958']",,,
960,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,199.61409457340568,54.47700958355793,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_1114779e_actions,player_1114779e,['player_1114779e'],,,
960,tomato_cut,pick up,Counter_24,Counter,24,pick up tomato_cut from counter,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,199.61409457340568,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_1114779e_actions,player_1114779e,['player_1114779e'],,,False
1026,tomato,pick up,Counter_22,Counter,22,pick up tomato from counter,player_56b32958,encouraged_division_of_labor_v2,8ea151b8dd44533c,402.7549125469737,32.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",5f9680c928b51354f0244d31,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_56b32958_actions,player_1114779e,['player_1114779e'],,,True
1032,tomato_cut,put down,Dispenser_71,Dispenser,71,put down tomato_cut on dispenser,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,267.49634556731405,67.88225099390837,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_1114779e_actions,player_1114779e,"['player_1114779e', 'player_1114779e']",,,
