tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
671,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,54.627416997969505,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
724,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,77.25483399593907,22.62741699796956,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
763,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,99.88225099390868,22.62741699796962,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
863,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,122.5096679918783,22.62741699796962,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
901,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,145.13708498984775,22.627416997969448,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
960,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,199.61409457340568,54.47700958355793,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
960,tomato_cut,pick up,Counter_24,Counter,24,pick up tomato_cut from counter,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,199.61409457340568,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1032,tomato_cut,put down,Dispenser_71,Dispenser,71,put down tomato_cut on dispenser,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,267.49634556731405,67.88225099390837,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1032,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,267.49634556731405,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1084,plate,put down,Dispenser_50,Dispenser,50,put down plate on dispenser,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,283.49634556731405,16.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1084,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,283.49634556731405,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1179,tomato,put down,Counter_25,Counter,25,put down tomato on counter,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,360.4821105463783,76.98576497906424,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1277,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,444.11177939060747,83.62966884422917,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1354,plate,assemble salad,Counter_22,Counter,22,assemble salad,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,498.58878897416594,54.47700958355847,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1397,tomato_salad,pick up,Counter_22,Counter,22,pick up tomato_salad from counter,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,498.58878897416594,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1451,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,537.0720120599386,38.48322308577269,1.0,1.0,1.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1521,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,575.5552351457104,38.48322308577178,1.0,0.0,1.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1606,plate,assemble salad,Counter_23,Counter,23,assemble salad,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,636.5574967334923,61.002261587781845,1.0,0.0,1.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1670,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,675.040719819264,38.48322308577178,1.0,0.0,1.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1744,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,729.5177294028211,54.477009583557106,1.0,0.0,1.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1744,tomato_cut,pick up,Counter_24,Counter,24,pick up tomato_cut from counter,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,729.5177294028211,0.0,1.0,0.0,1.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1782,tomato_cut,put down,Counter_25,Counter,25,put down tomato_cut on counter,player_1114779e,encouraged_division_of_labor_v2,8ea151b8dd44533c,745.5177294028206,15.999999999999432,1.0,0.0,1.0,1.0,1.0,"(5, 2)",6675ebfe4ca3bfdd2a986877,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
