tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
392,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_92dfc57c,encouraged_division_of_labor_v2,c4d76dc7855f30ee,163.09165035854724,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66cbc2627559d53c0e3e4ac4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
457,tomato,put down,Counter_23,Counter,23,put down tomato on counter,player_92dfc57c,encouraged_division_of_labor_v2,c4d76dc7855f30ee,201.57487344431917,38.483223085771925,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66cbc2627559d53c0e3e4ac4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
554,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_92dfc57c,encouraged_division_of_labor_v2,c4d76dc7855f30ee,240.05809653009158,38.48322308577241,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66cbc2627559d53c0e3e4ac4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
625,tomato,put down,Counter_24,Counter,24,put down tomato on counter,player_92dfc57c,encouraged_division_of_labor_v2,c4d76dc7855f30ee,294.5351061136493,54.47700958355773,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66cbc2627559d53c0e3e4ac4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
704,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_92dfc57c,encouraged_division_of_labor_v2,c4d76dc7855f30ee,362.417357107559,67.88225099390968,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66cbc2627559d53c0e3e4ac4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
834,plate,put down,Counter_25,Counter,25,put down plate on counter,player_92dfc57c,encouraged_division_of_labor_v2,c4d76dc7855f30ee,446.0941045549298,83.67674744737081,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66cbc2627559d53c0e3e4ac4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
885,tomato,pick up,Counter_24,Counter,24,pick up tomato from counter,player_92dfc57c,encouraged_division_of_labor_v2,c4d76dc7855f30ee,462.0941045549298,16.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66cbc2627559d53c0e3e4ac4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
987,tomato,start cutting,CuttingBoard_03,CuttingBoard,03,start cutting tomato,player_92dfc57c,encouraged_division_of_labor_v2,c4d76dc7855f30ee,554.4281963136854,92.33409175875556,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66cbc2627559d53c0e3e4ac4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1141,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,03,pick up tomato_cut from cuttingboard,player_92dfc57c,encouraged_division_of_labor_v2,c4d76dc7855f30ee,604.4281963136946,50.00000000000921,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66cbc2627559d53c0e3e4ac4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1198,tomato_cut,assemble salad,Counter_25,Counter,25,assemble salad,player_92dfc57c,encouraged_division_of_labor_v2,c4d76dc7855f30ee,636.4281963136932,31.999999999998636,0.0,0.0,0.0,1.0,1.0,"(1, 2)",66cbc2627559d53c0e3e4ac4,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
