tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition,source,last_touched,touched_list,tomato_history,plate_history,is_exchange_collaboration
105,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_2233c9b2,encouraged_division_of_labor_v2,e8526dbf365c434b,22.62741699796951,0.0,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f77e37c882a5720cfd8b568,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_2233c9b2_actions,,[],,,
174,plate,put down,Counter_22,Counter,22,put down plate on counter,player_2233c9b2,encouraged_division_of_labor_v2,e8526dbf365c434b,77.10442658152799,54.47700958355848,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f77e37c882a5720cfd8b568,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_2233c9b2_actions,player_2233c9b2,['player_2233c9b2'],,,
233,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_2233c9b2,encouraged_division_of_labor_v2,e8526dbf365c434b,131.58143616508644,54.477009583558456,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f77e37c882a5720cfd8b568,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_2233c9b2_actions,,[],,,
269,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_bd361d44,encouraged_division_of_labor_v2,e8526dbf365c434b,163.09165035854724,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65f97f0b0b647e7d3f140edf,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_bd361d44_actions,,[],,,
296,plate,put down,Counter_23,Counter,23,put down plate on counter,player_2233c9b2,encouraged_division_of_labor_v2,e8526dbf365c434b,192.58369775286783,61.00226158778142,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f77e37c882a5720cfd8b568,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_2233c9b2_actions,player_2233c9b2,['player_2233c9b2'],,,
370,plate,pick up,Dispenser_71,Dispenser,71,pick up plate from dispenser,player_2233c9b2,encouraged_division_of_labor_v2,e8526dbf365c434b,253.58595934064928,61.00226158778142,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f77e37c882a5720cfd8b568,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_2233c9b2_actions,,[],,,
394,tomato,put down,Counter_22,Counter,22,put down tomato on counter,player_bd361d44,encouraged_division_of_labor_v2,e8526dbf365c434b,185.71906735651663,22.62741699796939,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65f97f0b0b647e7d3f140edf,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_bd361d44_actions,player_bd361d44,['player_bd361d44'],,,
394,plate,pick up,Counter_22,Counter,22,pick up plate from counter,player_bd361d44,encouraged_division_of_labor_v2,e8526dbf365c434b,185.71906735651663,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65f97f0b0b647e7d3f140edf,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_bd361d44_actions,player_bd361d44,['player_bd361d44'],,,False
440,plate,put down,Counter_24,Counter,24,put down plate on counter,player_2233c9b2,encouraged_division_of_labor_v2,e8526dbf365c434b,321.46821033455893,67.88225099390965,0.0,0.0,0.0,1.0,1.0,"(5, 2)",5f77e37c882a5720cfd8b568,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_2233c9b2_actions,player_2233c9b2,['player_2233c9b2'],,,
501,plate,put down,Counter_25,Counter,25,put down plate on counter,player_bd361d44,encouraged_division_of_labor_v2,e8526dbf365c434b,233.71906735651663,48.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",65f97f0b0b647e7d3f140edf,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints",player_bd361d44_actions,player_bd361d44,"['player_bd361d44', 'player_bd361d44']",,,
