tick,item,action,target,target_type,target_position,action_long,player_id,map_name,game_id,distance_walked,distance_walked_since_last_action,overall_score,player_score_change,player_score,walking_speed,cutting_speed,start_pos,prolific_id,condition
229,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,169.60684536917321,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
445,tomato,start cutting,CuttingBoard_03,CuttingBoard,03,start cutting tomato,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,322.7549125469737,153.14806717780047,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
648,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,482.8082645675497,160.05335202057603,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
744,plate,put down,Counter_23,Counter,23,put down plate on counter,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,543.8105261553322,61.00226158778253,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
893,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,03,pick up tomato_cut from cuttingboard,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,652.1235886326677,108.3130624773355,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
926,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,652.1235886326677,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
965,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,652.1235886326677,0.0,0.0,0.0,0.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1081,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,773.8561450758563,121.73255644318851,2.0,1.0,1.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1202,tomato,pick up,Dispenser_40,Dispenser,40,pick up tomato from dispenser,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,812.339368161628,38.48322308577178,2.0,0.0,1.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1346,tomato,start cutting,CuttingBoard_03,CuttingBoard,03,start cutting tomato,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,959.2859824019193,146.9466142402913,2.0,0.0,1.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1543,plate,pick up,Dispenser_60,Dispenser,60,pick up plate from dispenser,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,1119.3393344224958,160.05335202057643,2.0,0.0,1.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1665,plate,put down,Counter_23,Counter,23,put down plate on counter,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,1189.8163440060514,70.47700958355563,2.0,0.0,1.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1790,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,1298.1294064833853,108.31306247733392,2.0,0.0,1.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1840,plate,put down,Counter_23,Counter,23,put down plate on counter,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,1298.1294064833853,0.0,2.0,0.0,1.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
1904,plate,pick up,Counter_23,Counter,23,pick up plate from counter,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,1298.1294064833853,0.0,2.0,0.0,1.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2224,plate,put down,Counter_23,Counter,23,put down plate on counter,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,1451.861962926572,153.7325564431867,3.0,0.0,1.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2341,tomato_cut,pick up,CuttingBoard_03,CuttingBoard,03,pick up tomato_cut from cuttingboard,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,1560.175025403906,108.31306247733392,3.0,0.0,1.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2383,tomato_cut,assemble salad,Counter_23,Counter,23,assemble salad,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,1560.175025403906,0.0,3.0,0.0,1.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2420,tomato_salad,pick up,Counter_23,Counter,23,pick up tomato_salad from counter,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,1560.175025403906,0.0,3.0,0.0,1.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2551,tomato_salad,deliver,Delivery_63,Delivery,63,deliver tomato_salad,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,1681.907581847094,121.73255644318806,4.0,1.0,2.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
2639,tomato,pick up,Dispenser_50,Dispenser,50,pick up tomato from dispenser,player_dbc761d3,encouraged_division_of_labor_v2,ef40fe5116f2a95e,1713.9075818470933,31.999999999999318,4.0,0.0,2.0,1.0,1.0,"(1, 2)",6628f4e77ba6d4332996845e,"[p(1, 2)_cs(1.0)_ws(1.0)]_[p(5, 2)_cs(1.0)_ws(1.0)]_ability_hints"
