Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68b47b4d64fdc5d5610cdb5a,659d6ca29e5500da27f1cb5b,APPROVED,Not Applicable,2025-08-31T16:41:54.023000Z,2025-08-31T16:47:28.207000Z,2025-09-13T02:06:44.994000Z,2025-08-31T16:47:28.621807Z,335.0,CX0Z37FL,672,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68b47b51f4e5ee94720d3c56,674bea1eb044fbe75795fef1,APPROVED,Not Applicable,2025-08-31T16:41:59.126000Z,2025-08-31T16:50:32.141000Z,2025-09-13T02:06:45.303000Z,2025-08-31T16:50:32.507101Z,514.0,CX0Z37FL,1636,47,Female,White,United States,United States,United States,English,Yes,Full-Time
68b47b541ad5cb064fa7d0ff,60171c9b1a726593103182b3,APPROVED,Not Applicable,2025-08-31T16:42:04.271000Z,2025-08-31T16:49:22.121000Z,2025-09-13T02:06:45.594000Z,2025-08-31T16:49:22.497996Z,438.0,CX0Z37FL,6847,52,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68b47b59863e77af54c1f1d9,6767e7f3e5207336bfda8591,APPROVED,Not Applicable,2025-08-31T16:42:06.877000Z,2025-08-31T16:50:42.312000Z,2025-09-13T02:06:45.837000Z,2025-08-31T16:50:42.693016Z,516.0,CX0Z37FL,830,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
68b47b5def4b66946e1ae82e,5ebc0abd2cc5f1054c82a0d7,APPROVED,Not Applicable,2025-08-31T16:42:16.972000Z,2025-08-31T16:51:45.102000Z,2025-09-13T02:06:46.103000Z,2025-08-31T16:51:45.485628Z,569.0,CX0Z37FL,1922,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68b47b5fb7b00d5fe6315217,5ef517f0d1136816262cc23e,APPROVED,Not Applicable,2025-08-31T16:42:12.250000Z,2025-08-31T16:47:28.163000Z,2025-09-13T02:06:46.343000Z,2025-08-31T16:47:28.540089Z,316.0,CX0Z37FL,722,28,Male,White,United States,United States,United States,English,Yes,Due to start a new job within the next month
68b47b73b5f8e20e7561aaaf,5cfbf333ac28dd00196e807b,APPROVED,Not Applicable,2025-08-31T16:43:20.971000Z,2025-08-31T16:52:34.264000Z,2025-09-13T02:06:46.622000Z,2025-08-31T16:52:34.668506Z,554.0,CX0Z37FL,3116,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
68b47b7411dfbebc989e1f63,663791040de5898120ca93cd,APPROVED,Not Applicable,2025-08-31T16:43:09.667000Z,2025-08-31T16:51:43.174000Z,2025-09-13T02:06:46.860000Z,2025-08-31T16:51:43.547686Z,514.0,CX0Z37FL,972,33,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
68b47b77deedd2ea52dbbda5,669a4f388b2de8df723faf1e,APPROVED,Not Applicable,2025-08-31T16:42:35.788000Z,2025-08-31T16:49:21.562000Z,2025-09-13T02:06:47.178000Z,2025-08-31T16:49:21.952057Z,406.0,CX0Z37FL,2755,46,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68b47bc0c45fb037d0d39de9,667b369632ed2d5b2d3b9947,APPROVED,Not Applicable,2025-08-31T16:43:47.062000Z,2025-08-31T16:50:52.190000Z,2025-09-13T02:06:47.484000Z,2025-08-31T16:50:52.560624Z,426.0,CX0Z37FL,1138,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
